model,scalar,n_neiberhoods,weights,train MAE,variance train,validation MAE,variance var
KNN,RobustScaler(),11,uniform,2199.61,8.26,2513.88,34.14
KNN,RobustScaler(),10,uniform,2197.97,6.97,2514.98,36.09
KNN,RobustScaler(),7,uniform,2199.49,9.7,2515.49,33.17
KNN,RobustScaler(),8,uniform,2200.51,7.85,2515.87,33.17
KNN,RobustScaler(),9,uniform,2198.37,8.1,2515.97,33.63
KNN,StandardScaler(),11,uniform,2204.88,8.54,2517.28,37.09
KNN,StandardScaler(),10,uniform,2203.56,8.56,2518.53,36.9
KNN,StandardScaler(),9,uniform,2203.71,7.91,2518.74,37.04
KNN,StandardScaler(),8,uniform,2203.12,8.04,2520.01,38.75
KNN,StandardScaler(),7,uniform,2205.09,8.06,2522.24,37.6
KNN,RobustScaler(),10,distance,2206.48,8.04,2524.07,32.38
KNN,RobustScaler(),9,distance,2207.19,8.34,2524.19,32.19
KNN,StandardScaler(),10,distance,2207.34,9.33,2524.66,34.03
KNN,RobustScaler(),11,distance,2206.17,8.05,2524.7,31.95
KNN,StandardScaler(),11,distance,2206.53,9.12,2524.78,35.23
KNN,RobustScaler(),8,distance,2207.94,8.59,2525.73,32.67
KNN,StandardScaler(),9,distance,2207.34,8.76,2525.88,33.62
KNN,RobustScaler(),7,distance,2208.06,8.83,2525.91,32.42
KNN,StandardScaler(),8,distance,2207.59,8.76,2527.07,33.85
KNN,StandardScaler(),7,distance,2209.06,8.82,2527.56,35.18
KNN,MinMaxScaler(),11,uniform,2305.28,13.09,2638.27,42.58
KNN,"MinMaxScaler(feature_range=(-1, 1))",10,uniform,2306.14,13.1,2638.6,42.11
KNN,MinMaxScaler(),10,uniform,2305.38,13.46,2638.67,41.91
KNN,"MinMaxScaler(feature_range=(-1, 1))",11,uniform,2305.58,13.21,2639.35,44.26
KNN,MinMaxScaler(),9,uniform,2306.32,12.51,2640.36,40.53
KNN,"MinMaxScaler(feature_range=(-1, 1))",7,uniform,2307.79,12.45,2640.39,42.71
KNN,"MinMaxScaler(feature_range=(-1, 1))",8,uniform,2306.96,11.32,2640.7,40.1
KNN,MinMaxScaler(),7,uniform,2307.4,13.03,2640.74,40.53
KNN,"MinMaxScaler(feature_range=(-1, 1))",9,uniform,2306.57,12.33,2640.93,40.88
KNN,MinMaxScaler(),8,uniform,2306.18,12.17,2641.02,40.49
KNN,"MinMaxScaler(feature_range=(-1, 1))",11,distance,2310.24,11.7,2642.55,39.7
KNN,"MinMaxScaler(feature_range=(-1, 1))",9,distance,2310.47,11.88,2643.94,38.55
KNN,MinMaxScaler(),11,distance,2309.67,10.9,2644.07,37.19
KNN,"MinMaxScaler(feature_range=(-1, 1))",10,distance,2310.06,11.46,2644.12,39.68
KNN,"MinMaxScaler(feature_range=(-1, 1))",8,distance,2311.06,12.05,2644.86,39.49
KNN,"MinMaxScaler(feature_range=(-1, 1))",7,distance,2311.79,12.94,2644.99,40.53
KNN,MinMaxScaler(),10,distance,2309.71,11.33,2646.03,37.26
KNN,MinMaxScaler(),9,distance,2310.16,11.5,2646.79,36.72
KNN,MinMaxScaler(),8,distance,2310.63,11.84,2647.0,36.8
KNN,MinMaxScaler(),7,distance,2311.46,12.13,2647.14,37.61
DT,StandardScaler(),10,uniform,2700.64,6.54,2730.58,32.84
DT,MinMaxScaler(),10,uniform,2698.55,7.62,2731.03,31.81
DT,StandardScaler(),11,uniform,2698.56,6.68,2731.22,30.83
DT,"MinMaxScaler(feature_range=(-1, 1))",10,uniform,2699.54,7.69,2732.78,31.99
DT,RobustScaler(),10,uniform,2701.15,6.35,2732.95,28.94
DT,RobustScaler(),11,uniform,2699.46,7.11,2734.14,31.18
DT,MinMaxScaler(),11,uniform,2698.68,6.55,2734.18,31.65
DT,"MinMaxScaler(feature_range=(-1, 1))",9,uniform,2702.65,7.79,2735.3,37.41
DT,"MinMaxScaler(feature_range=(-1, 1))",11,uniform,2699.51,6.12,2735.33,31.61
DT,StandardScaler(),9,uniform,2702.01,8.49,2735.72,36.61
DT,RobustScaler(),9,uniform,2702.66,8.01,2737.04,34.43
DT,RobustScaler(),7,uniform,2707.45,6.46,2737.75,36.41
DT,MinMaxScaler(),7,uniform,2708.65,8.03,2737.8,34.03
DT,MinMaxScaler(),8,uniform,2707.06,8.38,2737.81,35.7
DT,"MinMaxScaler(feature_range=(-1, 1))",7,uniform,2706.7,6.29,2737.89,35.29
DT,StandardScaler(),7,uniform,2708.72,7.73,2738.43,34.92
DT,MinMaxScaler(),9,uniform,2704.01,6.72,2738.72,36.66
DT,StandardScaler(),8,uniform,2706.62,6.69,2739.36,35.17
DT,"MinMaxScaler(feature_range=(-1, 1))",8,uniform,2705.9,5.38,2739.89,34.79
DT,RobustScaler(),8,uniform,2709.15,6.71,2741.45,34.92
DT,MinMaxScaler(),9,distance,2712.42,9.28,2745.54,30.48
DT,MinMaxScaler(),10,distance,2715.86,8.76,2746.64,33.73
DT,StandardScaler(),7,distance,2715.35,9.4,2747.55,29.11
DT,MinMaxScaler(),8,distance,2716.98,9.0,2747.94,33.04
DT,RobustScaler(),11,distance,2717.83,5.53,2748.26,30.65
DT,StandardScaler(),10,distance,2712.33,11.19,2748.4,26.28
DT,StandardScaler(),11,distance,2714.66,9.8,2748.45,28.62
DT,MinMaxScaler(),11,distance,2715.8,9.15,2748.51,32.48
DT,RobustScaler(),9,distance,2717.29,4.42,2748.65,32.34
DT,StandardScaler(),9,distance,2711.5,10.91,2748.92,26.01
DT,StandardScaler(),8,distance,2715.13,9.65,2748.99,28.95
DT,MinMaxScaler(),7,distance,2716.51,9.35,2749.54,32.59
DT,RobustScaler(),8,distance,2718.78,5.57,2749.62,31.25
DT,RobustScaler(),10,distance,2718.44,5.53,2750.05,30.13
DT,"MinMaxScaler(feature_range=(-1, 1))",8,distance,2718.69,5.15,2751.14,32.28
DT,"MinMaxScaler(feature_range=(-1, 1))",9,distance,2718.82,4.73,2751.25,30.57
DT,"MinMaxScaler(feature_range=(-1, 1))",11,distance,2718.82,5.17,2751.69,31.58
DT,RobustScaler(),7,distance,2718.47,3.84,2751.81,30.02
DT,"MinMaxScaler(feature_range=(-1, 1))",7,distance,2719.0,5.4,2752.32,32.17
DT,"MinMaxScaler(feature_range=(-1, 1))",10,distance,2718.57,5.22,2754.1,29.86
LR,StandardScaler(),11,uniform,3461.64,6.97,3462.11,20.85
LR,MinMaxScaler(),11,uniform,3461.62,7.05,3462.38,21.65
LR,StandardScaler(),10,uniform,3462.04,7.04,3462.52,21.12
LR,"MinMaxScaler(feature_range=(-1, 1))",11,uniform,3461.66,7.08,3462.54,21.68
LR,RobustScaler(),11,uniform,3462.23,6.85,3462.62,20.7
LR,StandardScaler(),8,uniform,3462.88,6.97,3462.72,21.79
LR,StandardScaler(),9,uniform,3462.43,7.16,3462.72,21.38
LR,RobustScaler(),10,uniform,3462.41,6.82,3462.74,20.53
LR,MinMaxScaler(),10,uniform,3462.05,7.11,3462.8,21.16
LR,"MinMaxScaler(feature_range=(-1, 1))",10,uniform,3462.1,7.12,3462.93,21.23
LR,RobustScaler(),9,uniform,3462.77,6.96,3462.96,20.69
LR,MinMaxScaler(),8,uniform,3463.21,6.92,3463.05,21.43
LR,StandardScaler(),7,uniform,3463.38,6.96,3463.16,21.75
LR,"MinMaxScaler(feature_range=(-1, 1))",8,uniform,3462.99,6.75,3463.16,21.6
LR,RobustScaler(),8,uniform,3463.03,6.9,3463.22,21.17
LR,"MinMaxScaler(feature_range=(-1, 1))",9,uniform,3462.53,7.08,3463.26,21.49
LR,MinMaxScaler(),9,uniform,3462.62,7.13,3463.29,21.35
LR,RobustScaler(),7,uniform,3463.58,6.84,3463.37,21.34
LR,MinMaxScaler(),7,uniform,3463.72,6.74,3463.41,21.45
LR,"MinMaxScaler(feature_range=(-1, 1))",7,uniform,3463.6,6.63,3463.65,21.48
LR,StandardScaler(),11,distance,3469.67,6.93,3470.35,20.93
LR,RobustScaler(),11,distance,3469.22,6.76,3470.37,21.23
LR,StandardScaler(),10,distance,3469.83,6.97,3470.45,20.91
LR,RobustScaler(),10,distance,3469.34,6.76,3470.46,21.23
LR,RobustScaler(),9,distance,3469.52,6.82,3470.54,21.38
LR,StandardScaler(),9,distance,3469.99,6.98,3470.56,21.1
LR,StandardScaler(),8,distance,3470.21,6.93,3470.63,21.08
LR,StandardScaler(),7,distance,3470.38,6.93,3470.73,21.16
LR,RobustScaler(),8,distance,3469.64,6.82,3470.74,21.54
